id	filename	md5	size	state
0024bda0-49e5-4263-ba1b-70cc64cc336c	47eec553-475a-4d8c-85d7-eb17dc17ab48.FPKM.txt.gz	72d599c9eea0e79bcce165d6837b0ea7	530540	validated
03354a85-b6a5-429b-a994-35ebaabf2cfa	5679ba58-4b6e-48ab-97f5-0ceba0490b7d.FPKM.txt.gz	7f54ce602c243d55423571e7d3817437	503328	validated
050156a7-d37b-43b0-9feb-47db8d53efe5	49383f4e-db43-49b6-8624-eae9e41fb9ec.FPKM.txt.gz	a7cb1fd91ee22ed9a60e1d9be8af6ca9	497679	validated
058979c9-a7df-4ca5-a140-ae3b19bcd798	ddaf7422-ff89-4679-9b60-70c216918309.FPKM.txt.gz	f09f9a8dbcf78c9dec6f0d32073ef0c0	511865	validated
07e9b9f6-15c7-4937-be56-8f31bf9ca1bb	8e913f54-6511-4dba-9406-23b9eb2feec1.FPKM.txt.gz	a5cf237670879c3809302e108015c824	524705	validated
095d6594-4e87-4b7f-9d2d-82ba0d705cf3	f1fd9770-0dbb-4be3-8bba-a65e8738aa54.FPKM.txt.gz	2996c6b8390e917149660776d5428616	521095	validated
09ac2f61-8345-4883-8cec-3487d2ee1b5c	27af0f89-453e-4219-9423-4ea2a9e9812a.FPKM.txt.gz	186e3e8d2a12a0a858fe654ff3a4371b	495180	validated
09c98818-e71d-4fa0-bf93-960bdfc4dfc4	ae573ce7-89bd-4366-81aa-96463f2d9fb5.FPKM.txt.gz	59059b4336c7ca7a7fb471408cdff7d1	509605	validated
09cc1245-1b6e-4db2-842a-17ae3bc1d2dd	6702390e-38c1-43a5-8625-e398f415103e.FPKM.txt.gz	16d0c8c3b04979fab3330f72f17b3743	498243	validated
0c654354-c825-4550-b85b-f105e458e630	55b82c5e-1070-4804-8213-63bbf2446f00.FPKM.txt.gz	341e818a2248c775c57a63a4e8757227	516241	validated
0cab9adb-4d1c-4831-9e23-60faf7545f37	610118ce-03e9-4d90-86f7-4112f40af7fb.FPKM.txt.gz	aabdc742a2a8796b0772998023763ef1	504329	validated
0d3e4f19-861d-4c76-aa95-c2fdeda20513	b94eb3b8-4adf-469a-9398-651f743c19d2.FPKM.txt.gz	33005ad1d894a4efd10d3f1daf57e161	491254	validated
10ab7afb-bfbc-4924-800f-73c64a31904c	fd50ea24-f2b2-4118-af87-e3e780951a9d.FPKM.txt.gz	18d8fe183c1ec0b8ab51da9432fde8fd	505922	validated
11583d13-78df-40be-b227-bae26cd01687	d37d9cd1-0c83-4723-bab3-fa7871917e91.FPKM.txt.gz	d35fe4bcc712c610600294542ef12128	497564	validated
12d4ad34-b009-46a2-9f45-f3b005465c6b	a02e1c12-4ac1-4926-b55f-b4ac80ca7095.FPKM.txt.gz	96f308dbc71ba4f8553741dc7b2cff43	536009	validated
